Time (UTC),prs(m)
2020-01-01 00:00:00,0.852
2020-01-01 06:00:00,1.095
2020-01-01 12:00:00,1.44
2020-01-01 18:00:00,1.502
2020-01-02 00:00:00,0.854
2020-01-02 06:00:00,1.229
2020-01-02 12:00:00,1.244
2020-01-02 18:00:00,1.482
2020-01-03 00:00:00,0.869
2020-01-03 06:00:00,1.199
2020-01-03 12:00:00,1.352
2020-01-03 18:00:00,1.431
2020-01-04 00:00:00,1.094
2020-01-04 06:00:00,1.402
2020-01-04 12:00:00,1.197
2020-01-04 18:00:00,1.479
2020-01-05 00:00:00,1.119
2020-01-05 06:00:00,1.302
2020-01-05 12:00:00,1.298
2020-01-05 18:00:00,1.547
2020-01-06 00:00:00,1.195
2020-01-06 06:00:00,1.311
2020-01-06 12:00:00,1.292
2020-01-06 18:00:00,1.373
2020-01-07 00:00:00,1.153
2020-01-07 06:00:00,1.282
2020-01-07 12:00:00,1.282
2020-01-07 18:00:00,1.368
2020-01-08 00:00:00,1.087
2020-01-08 06:00:00,1.312
2020-01-08 12:00:00,1.244
2020-01-08 18:00:00,1.221
2020-01-09 00:00:00,1.078
2020-01-09 06:00:00,1.386
2020-01-09 12:00:00,1.443
2020-01-09 18:00:00,1.286
2020-01-10 00:00:00,1.109
2020-01-10 06:00:00,1.262
2020-01-10 12:00:00,1.383
2020-01-10 18:00:00,1.131
2020-01-11 00:00:00,1.012
2020-01-11 06:00:00,1.1
2020-01-11 12:00:00,1.309
2020-01-11 18:00:00,1.215
2020-01-12 00:00:00,0.895
2020-01-12 06:00:00,1.228
2020-01-12 12:00:00,1.554
2020-01-12 18:00:00,1.385
2020-01-13 00:00:00,1.103
2020-01-13 06:00:00,1.204
2020-01-13 12:00:00,1.65
2020-01-13 18:00:00,1.448
2020-01-14 00:00:00,1.059
2020-01-14 06:00:00,1.015
2020-01-14 12:00:00,1.52
2020-01-14 18:00:00,1.494
2020-01-15 00:00:00,1.014
2020-01-15 06:00:00,1.121
2020-01-15 12:00:00,1.528
2020-01-15 18:00:00,1.447
2020-01-16 00:00:00,0.805
2020-01-16 06:00:00,0.991
2020-01-16 12:00:00,1.449
2020-01-16 18:00:00,1.487
2020-01-17 00:00:00,0.732
2020-01-17 06:00:00,1.119
2020-01-17 12:00:00,1.381
2020-01-17 18:00:00,1.512
2020-01-18 00:00:00,0.884
2020-01-18 06:00:00,1.257
2020-01-18 12:00:00,1.293
2020-01-18 18:00:00,1.42
2020-01-19 00:00:00,0.947
2020-01-19 06:00:00,1.263
2020-01-19 12:00:00,1.233
2020-01-19 18:00:00,1.296
2020-01-20 00:00:00,1.058
2020-01-20 06:00:00,1.393
2020-01-20 12:00:00,1.358
2020-01-20 18:00:00,1.186
2020-01-21 00:00:00,1.079
2020-01-21 06:00:00,1.314
2020-01-21 12:00:00,1.305
2020-01-21 18:00:00,1.121
2020-01-22 00:00:00,1.12
2020-01-22 06:00:00,1.385
2020-01-22 12:00:00,1.418
2020-01-22 18:00:00,0.992
2020-01-23 00:00:00,1.009
2020-01-23 06:00:00,1.298
2020-01-23 12:00:00,1.372
2020-01-23 18:00:00,1.005
2020-01-24 00:00:00,1.025
2020-01-24 06:00:00,1.248
2020-01-24 12:00:00,1.409
2020-01-24 18:00:00,1.159
2020-01-25 00:00:00,1.014
2020-01-25 06:00:00,1.159
2020-01-25 12:00:00,1.41
2020-01-25 18:00:00,1.193
2020-01-26 00:00:00,0.84
2020-01-26 06:00:00,1.216
2020-01-26 12:00:00,1.469
2020-01-26 18:00:00,1.351
2020-01-27 00:00:00,0.813
2020-01-27 06:00:00,1.08
2020-01-27 12:00:00,1.345
2020-01-27 18:00:00,1.332
2020-01-28 00:00:00,0.804
2020-01-28 06:00:00,1.086
2020-01-28 12:00:00,1.365
2020-01-28 18:00:00,1.364
2020-01-29 00:00:00,0.83
2020-01-29 06:00:00,1.181
2020-01-29 12:00:00,1.427
2020-01-29 18:00:00,1.482
2020-01-30 00:00:00,0.924
2020-01-30 06:00:00,1.117
2020-01-30 12:00:00,1.262
2020-01-30 18:00:00,1.293
2020-01-31 00:00:00,0.878
2020-01-31 06:00:00,1.318
2020-01-31 12:00:00,1.371
2020-01-31 18:00:00,1.406
2020-02-01 00:00:00,0.946
2020-02-01 06:00:00,1.243
2020-02-01 12:00:00,1.31
2020-02-01 18:00:00,1.337
2020-02-02 00:00:00,0.984
2020-02-02 06:00:00,1.202
2020-02-02 12:00:00,1.262
2020-02-02 18:00:00,1.293
2020-02-03 00:00:00,0.895
2020-02-03 06:00:00,1.234
2020-02-03 12:00:00,1.165
2020-02-03 18:00:00,1.188
2020-02-04 00:00:00,0.96
2020-02-04 06:00:00,1.34
2020-02-04 12:00:00,1.314
2020-02-04 18:00:00,1.235
2020-02-05 00:00:00,1.073
2020-02-05 06:00:00,1.378
2020-02-05 12:00:00,1.307
2020-02-05 18:00:00,1.26
2020-02-06 00:00:00,1.175
2020-02-06 06:00:00,1.377
2020-02-06 12:00:00,1.41
2020-02-06 18:00:00,1.104
2020-02-07 00:00:00,1.162
2020-02-07 06:00:00,1.44
2020-02-07 12:00:00,1.395
2020-02-07 18:00:00,1.067
2020-02-08 00:00:00,1.012
2020-02-08 06:00:00,1.378
2020-02-08 12:00:00,1.421
2020-02-08 18:00:00,1.079
2020-02-09 00:00:00,1.091
2020-02-09 06:00:00,1.259
2020-02-09 12:00:00,1.449
2020-02-09 18:00:00,1.15
2020-02-10 00:00:00,1.07
2020-02-10 06:00:00,1.282
2020-02-10 12:00:00,1.45
2020-02-10 18:00:00,1.147
2020-02-11 00:00:00,0.966
2020-02-11 06:00:00,1.143
2020-02-11 12:00:00,1.44
2020-02-11 18:00:00,1.278
2020-02-12 00:00:00,0.987
2020-02-12 06:00:00,1.14
2020-02-12 12:00:00,1.497
2020-02-12 18:00:00,1.35
2020-02-13 00:00:00,0.968
2020-02-13 06:00:00,1.115
2020-02-13 12:00:00,1.496
2020-02-13 18:00:00,1.487
2020-02-14 00:00:00,0.93
2020-02-14 06:00:00,1.127
2020-02-14 12:00:00,1.272
2020-02-14 18:00:00,1.323
2020-02-15 00:00:00,0.913
2020-02-15 06:00:00,1.26
2020-02-15 12:00:00,1.253
2020-02-15 18:00:00,1.313
2020-02-16 00:00:00,0.93
2020-02-16 06:00:00,1.359
2020-02-16 12:00:00,1.348
2020-02-16 18:00:00,1.321
2020-02-17 00:00:00,1.123
2020-02-17 06:00:00,1.313
2020-02-17 12:00:00,1.213
2020-02-17 18:00:00,1.245
2020-02-18 00:00:00,1.212
2020-02-18 06:00:00,1.664
2020-02-18 12:00:00,1.605
2020-02-18 18:00:00,1.379
2020-02-19 00:00:00,1.395
2020-02-19 06:00:00,1.671
2020-02-19 12:00:00,1.738
2020-02-19 18:00:00,1.359
2020-02-20 00:00:00,1.495
2020-02-20 06:00:00,1.467
2020-02-20 12:00:00,1.398
2020-02-20 18:00:00,1.185
2020-02-21 00:00:00,1.331
2020-02-21 06:00:00,1.604
2020-02-21 12:00:00,1.621
2020-02-21 18:00:00,1.192
2020-02-22 00:00:00,1.257
2020-02-22 06:00:00,1.452
2020-02-22 12:00:00,1.538
2020-02-22 18:00:00,1.167
2020-02-23 00:00:00,1.125
2020-02-23 06:00:00,1.488
2020-02-23 12:00:00,1.633
2020-02-23 18:00:00,1.365
2020-02-24 00:00:00,1.261
2020-02-24 06:00:00,1.526
2020-02-24 12:00:00,1.614
2020-02-24 18:00:00,1.372
2020-02-25 00:00:00,1.202
2020-02-25 06:00:00,1.448
2020-02-25 12:00:00,1.618
2020-02-25 18:00:00,1.427
2020-02-26 00:00:00,1.187
2020-02-26 06:00:00,1.383
2020-02-26 12:00:00,1.493
2020-02-26 18:00:00,1.402
2020-02-27 00:00:00,1.189
2020-02-27 06:00:00,1.54
2020-02-27 12:00:00,1.561
2020-02-27 18:00:00,1.52
2020-02-28 00:00:00,1.275
2020-02-28 06:00:00,1.524
2020-02-28 12:00:00,1.572
2020-02-28 18:00:00,1.543
2020-02-29 00:00:00,1.072
2020-02-29 06:00:00,1.11725
2020-02-29 12:00:00,1.1625
2020-02-29 18:00:00,1.2077499999999999
2020-03-01 00:00:00,1.253
2020-03-01 06:00:00,1.53
2020-03-01 12:00:00,1.688
2020-03-01 18:00:00,1.558
2020-03-02 00:00:00,1.417
2020-03-02 06:00:00,1.609
2020-03-02 12:00:00,1.59
2020-03-02 18:00:00,1.512
2020-03-03 00:00:00,1.342
2020-03-03 06:00:00,1.623
2020-03-03 12:00:00,1.524
2020-03-03 18:00:00,1.475
2020-03-04 00:00:00,1.28
2020-03-04 06:00:00,1.627
2020-03-04 12:00:00,1.558
2020-03-04 18:00:00,1.45
2020-03-05 00:00:00,1.352
2020-03-05 06:00:00,1.599
2020-03-05 12:00:00,1.631
2020-03-05 18:00:00,1.359
2020-03-06 00:00:00,1.323
2020-03-06 06:00:00,1.937
2020-03-06 12:00:00,1.855
2020-03-06 18:00:00,1.442
2020-03-07 00:00:00,1.45
2020-03-07 06:00:00,1.93
2020-03-07 12:00:00,1.87
2020-03-07 18:00:00,1.369
2020-03-08 00:00:00,1.367
